节点名称,实例名称/ID,状态,支付方式,可用区,IP地址,配置/类型,加速芯片类型,加速芯片（已使用/总卡数）,空闲加速芯片卡数,资源申请 | 限制,容器组（已分配/总额度）,节点组,超节点,Kubelet版本/Runtime版本/OS版本,创建时间
内存: - | -",- / -,L20-nodepool（cce-ig-49zcib7u）,,-,2025-11-27 14:03:57
10.90.128.121,CCE-EBC-triton-server-L20-fucabr7m-u5esp1do-2 / i-k5jt1qp8,可用,后付费,可用区C,10.90.128.121,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,L20-nodepool（cce-ig-49zcib7u）,,-,2025-11-27 14:03:57
10.90.128.122,CCE-EBC-triton-server-L20-fucabr7m-u5esp1do-3 / i-A8XwvWpE,可用,后付费,可用区C,10.90.128.122,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,L20-nodepool（cce-ig-49zcib7u）,,-,2025-11-27 14:03:57
10.89.0.22,cce-ig-n2n53rim-ligindqy-caep2nx6-19 / i-9y8FAQj1,可用,后付费,可用区C,10.89.0.22,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-11-13 14:54:31
10.89.0.16,cce-ig-n2n53rim-ligindqy-caep2nx6-18 / i-w8aUebU9,可用,后付费,可用区C,10.89.0.16,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,,,-,2025-11-01 11:06:30
10.89.0.37,cce-ig-n2n53rim-uhvp9dqm-caep2nx6-4 / i-GA7HbqbZ,可用,后付费,可用区C,10.89.0.37,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-10-31 16:27:39
10.89.0.35,cce-ig-n2n53rim-uhvp9dqm-caep2nx6-5 / i-we3TVyYm,可用,后付费,可用区C,10.89.0.35,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-10-31 16:27:39
10.89.0.36,cce-ig-n2n53rim-uhvp9dqm-caep2nx6-2 / i-7y076BZb,可用,后付费,可用区C,10.89.0.36,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-10-31 16:27:39
10.89.0.38,cce-ig-n2n53rim-uhvp9dqm-caep2nx6-1 / i-3YyVduYB,可用,后付费,可用区C,10.89.0.38,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-10-31 16:27:39
10.89.0.30,cce-ig-n2n53rim-n6mb24hf-caep2nx6 / i-MjxWiih9,可用,后付费,可用区C,10.89.0.30,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-10-22 13:58:17
10.89.0.29,cce-ig-n2n53rim-cavyj3c6-caep2nx6 / i-XA0YpbtF,可用,后付费,可用区C,10.89.0.29,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-10-22 13:51:53
10.89.0.4,cce-ig-n2n53rim-kqpad9ix-caep2nx6-4 / i-MKls2FDI,可用,后付费,可用区C,10.89.0.4,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-10-22 13:47:50
10.89.0.7,cce-ig-n2n53rim-kqpad9ix-caep2nx6-1 / i-5ItoHM8o,可用,后付费,可用区C,10.89.0.7,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-10-22 13:47:50
10.89.0.3,cce-ig-n2n53rim-kqpad9ix-caep2nx6-2 / i-kOQUgI3t,可用,后付费,可用区C,10.89.0.3,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-10-22 13:47:50
10.89.64.226,cce-ig-9ccs9cyw-y1u6u9fh-qjftb09j / i-QYr2SKP2,可用,后付费,可用区C,10.89.64.226,4核/8GB/200GB/c4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-4c8g（cce-ig-9ccs9cyw）,,-,2025-09-18 14:18:07
10.90.128.109,CCE-EBC-triton-server-L20-80wb5vvm-u5esp1do-29 / i-6OFJWRyW,可用,后付费,可用区C,10.90.128.109,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,L20-nodepool（cce-ig-49zcib7u）,,-,2025-09-17 15:53:38
10.90.128.11,CCE-EBC-triton-server-L20-bgbm5onz-5uuvqlpf-3 / i-sCe9iAaa,可用,后付费,可用区C,10.90.128.11,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,L20-nodepool（cce-ig-49zcib7u）,,-,2025-09-17 15:53:38
10.90.128.110,CCE-EBC-triton-server-L20-80wb5vvm-u5esp1do-18 / i-nY5Z55PJ,可用,后付费,可用区C,10.90.128.110,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,L20-nodepool（cce-ig-49zcib7u）,,-,2025-09-17 15:53:38
10.90.128.111,CCE-EBC-triton-server-L20-80wb5vvm-u5esp1do-24 / i-aTgVn9wL,可用,后付费,可用区C,10.90.128.111,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,L20-nodepool（cce-ig-49zcib7u）,,-,2025-09-17 15:53:38
10.90.128.100,CCE-EBC-triton-server-L20-80wb5vvm-u5esp1do-25 / i-8qrDkXYm,可用,后付费,可用区C,10.90.128.100,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,L20-nodepool（cce-ig-49zcib7u）,,-,2025-09-17 15:53:37
10.90.128.106,CCE-EBC-triton-server-L20-80wb5vvm-u5esp1do-19 / i-X0mDu8TL,可用,后付费,可用区C,10.90.128.106,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,L20-nodepool（cce-ig-49zcib7u）,,-,2025-09-17 15:53:37
10.89.0.49,cce-ig-49zcib7u-x855t3lz-92wz24nr-2 / i-MDlI6zsh,可用,后付费,可用区C,10.89.0.49,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,L20-nodepool（cce-ig-49zcib7u）,,-,2025-08-29 14:49:34
10.89.0.163,cce-ig-49zcib7u-x855t3lz-92wz24nr-4 / i-UhB4Cwuq,可用,后付费,可用区C,10.89.0.163,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,L20-nodepool（cce-ig-49zcib7u）,,-,2025-08-29 14:49:34
10.89.0.164,cce-ig-49zcib7u-x855t3lz-92wz24nr-1 / i-B7juRwVb,可用,后付费,可用区C,10.89.0.164,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,L20-nodepool（cce-ig-49zcib7u）,,-,2025-08-29 14:49:34
10.89.0.82,CCE-EBC-triton-server-L20-vkbfmdgl-u5esp1do-04 / i-Y0ZE1t7D,可用,后付费,可用区C,10.89.0.82,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,L20-nodepool（cce-ig-49zcib7u）,,-,2025-08-07 14:29:52
10.90.1.49,cce-uk1zi507-dvl609wz / i-duyb4NJr,可用,后付费,可用区C,10.90.1.49,208核/2048GB/500GB/lgn7tne,nTeslaH20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,H20-nodepool（cce-ig-5od2q7kk）,,-,2025-07-31 17:53:19
10.90.1.38,cce-uk1zi507-hkfp8sid / i-07Hwmtp1,可用,后付费,可用区C,10.90.1.38,208核/2048GB/500GB/lgn7tne,nTeslaH20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,H20-nodepool（cce-ig-5od2q7kk）,,-,2025-07-31 17:53:19
10.90.1.48,cce-uk1zi507-ijv23p52 / i-BjgeNjCQ,可用,后付费,可用区C,10.90.1.48,208核/2048GB/500GB/lgn7tne,nTeslaH20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,H20-nodepool（cce-ig-5od2q7kk）,,-,2025-07-31 17:53:19
10.90.1.39,cce-uk1zi507-innkuz0o / i-2mSuWvQ9,可用,后付费,可用区C,10.90.1.39,208核/2048GB/500GB/lgn7tne,nTeslaH20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,H20-nodepool（cce-ig-5od2q7kk）,,-,2025-07-31 17:53:19
10.90.1.43,cce-uk1zi507-vlot5lex / i-6IPzBCC0,可用,后付费,可用区C,10.90.1.43,208核/2048GB/500GB/lgn7tne,nTeslaH20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,H20-nodepool（cce-ig-5od2q7kk）,,-,2025-07-31 17:53:19
10.90.1.6,cce-uk1zi507-xxhkeyrn / i-bYqJ72Oj,可用,后付费,可用区C,10.90.1.6,208核/2048GB/500GB/lgn7tne,nTeslaH20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,H20-nodepool（cce-ig-5od2q7kk）,,-,2025-07-31 17:53:19
10.90.1.46,cce-uk1zi507-yn3031lt / i-RUlLsYJx,可用,后付费,可用区C,10.90.1.46,208核/2048GB/500GB/lgn7tne,nTeslaH20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,H20-nodepool（cce-ig-5od2q7kk）,,-,2025-07-31 17:53:19
10.90.1.40,cce-uk1zi507-byagmiqp / i-0fxUjMGw,可用,后付费,可用区C,10.90.1.40,208核/2048GB/500GB/lgn7tne,nTeslaH20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,H20-nodepool（cce-ig-5od2q7kk）,,-,2025-07-31 17:53:18
10.90.1.37,cce-uk1zi507-fow43esw / i-vmTDmoI4,可用,后付费,可用区C,10.90.1.37,208核/2048GB/500GB/lgn7tne,nTeslaH20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,H20-nodepool（cce-ig-5od2q7kk）,,-,2025-07-31 17:53:18
10.90.0.31,cce-ig-5od2q7kk-il0r7wcw-lrhgtnl6 / i-FALjKYpe,可用,后付费,可用区C,10.90.0.31,208核/2048GB/500GB/lgn7tne,nTeslaH20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,H20-nodepool（cce-ig-5od2q7kk）,,-,2025-07-31 16:46:48
10.89.0.160,cce-ig-n2n53rim-czuor0rz-caep2nx6-2 / i-WPCOoGYo,可用,后付费,可用区C,10.89.0.160,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-07-24 10:56:50
10.89.0.161,cce-ig-n2n53rim-czuor0rz-caep2nx6-1 / i-kOfhcsIr,可用,后付费,可用区C,10.89.0.161,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-07-24 10:56:50
10.89.0.159,cce-ig-n2n53rim-ye82wh61-caep2nx6-2 / i-49WIvflo,可用,后付费,可用区C,10.89.0.159,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-07-23 19:10:18
10.89.0.157,cce-ig-n2n53rim-ye82wh61-caep2nx6-1 / i-H7guLKi6,可用,后付费,可用区C,10.89.0.157,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-07-23 19:10:17
10.89.0.158,cce-ig-n2n53rim-ye82wh61-caep2nx6-3 / i-9KoHhmUG,可用,后付费,可用区C,10.89.0.158,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-07-23 19:10:17
10.89.0.156,cce-ig-n2n53rim-288fvci1-caep2nx6-3 / i-4LminCVJ,可用,后付费,可用区C,10.89.0.156,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-07-23 19:02:10
10.89.0.154,cce-ig-n2n53rim-288fvci1-caep2nx6-1 / i-iWUvMZw5,可用,后付费,可用区C,10.89.0.154,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-07-23 19:02:10
10.89.0.153,cce-ig-n2n53rim-db9ccgs0-caep2nx6 / i-kdZBfBiN,可用,后付费,可用区C,10.89.0.153,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-07-23 18:46:38
10.90.0.122,CCE-BBC-ai-platform-H20-oad7s7wt-lfrfvmqn-2 / i-pU3YCIGk,可用,后付费,可用区C,10.90.0.122,208核/2048GB/100GB/lgn7tne,nTeslaH20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,H20-nodepool（cce-ig-5od2q7kk）,,-,2025-07-21 11:06:21
10.89.0.150,cce-ig-n2n53rim-4refftga-caep2nx6-3 / i-WtUZqTXB,可用,后付费,可用区C,10.89.0.150,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-07-18 22:01:59
10.89.0.151,cce-ig-n2n53rim-4refftga-caep2nx6-4 / i-CoNfcdAz,可用,后付费,可用区C,10.89.0.151,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-07-18 22:01:59
10.89.0.149,cce-ig-n2n53rim-4refftga-caep2nx6-2 / i-fu7dgASM,可用,后付费,可用区C,10.89.0.149,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-07-18 22:01:59
10.89.0.152,cce-ig-n2n53rim-4refftga-caep2nx6-5 / i-DnAxJ2AF,可用,后付费,可用区C,10.89.0.152,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-07-18 22:01:59
10.89.0.148,cce-ig-n2n53rim-4refftga-caep2nx6-1 / i-A2dclisy,可用,后付费,可用区C,10.89.0.148,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-07-18 22:01:59
10.89.0.147,cce-ig-n2n53rim-9y6snqjg-caep2nx6-2 / i-WQZRb0Hc,可用,后付费,可用区C,10.89.0.147,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-07-18 21:32:05
10.89.0.146,cce-ig-n2n53rim-9y6snqjg-caep2nx6-1 / i-TleaWcyK,可用,后付费,可用区C,10.89.0.146,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-07-18 21:32:05
10.89.0.145,cce-ig-n2n53rim-3lzoq3qo-caep2nx6 / i-pMyhbk4Z,ready_scheduling_disabled,后付费,可用区C,10.89.0.145,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
