BCC_ID,名称,标签,描述,状态,GPU型号,GPU数量,GPU显存,实例规格,主IPv4私网地址,主IPv4公网地址,IP地址,弹性网卡数量,ipv6地址,CPU（核）,内存（GB）,系统盘（GB）,操作系统名称,操作系统版本,支付方式,所在网络,所在子网,创建时间,到期时间,地域,可用区,密钥对id,密钥对名称
"i-B6VKkWk0","cce-ig-n2n53rim-64a3csmd-caep2nx6-2","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-n2n53rim","","运行中","","0","","bcc.g4.c84m352","10.89.0.78","","10.89.0.78(内)  -(公)
","1","","84","352","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2026-01-16T16:04:13","","\u9633\u6CC9","可用区C","",""
"i-2MCQ2ayR","cce-ig-n2n53rim-64a3csmd-caep2nx6-3","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-n2n53rim","","运行中","","0","","bcc.g4.c84m352","10.89.0.79","","10.89.0.79(内)  -(公)
","2","","84","352","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2026-01-16T16:04:13","","\u9633\u6CC9","可用区C","",""
"i-UUK1S3QX","cce-ig-n2n53rim-iqievscp-caep2nx6-1","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-n2n53rim","","运行中","","0","","bcc.g4.c84m352","10.89.0.77","","10.89.0.77(内)  -(公)
","1","","84","352","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2026-01-16T14:16:22","","\u9633\u6CC9","可用区C","",""
"i-GpUDDpDJ","cce-ig-n2n53rim-iqievscp-caep2nx6-2","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-n2n53rim","","运行中","","0","","bcc.g4.c84m352","10.89.0.45","","10.89.0.45(内)  -(公)
","1","","84","352","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2026-01-16T14:16:22","","\u9633\u6CC9","可用区C","",""
"i-4CQsvD5o","cce-ig-n2n53rim-iqievscp-caep2nx6-3","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-n2n53rim","","运行中","","0","","bcc.g4.c84m352","10.89.0.74","","10.89.0.74(内)  -(公)
","1","","84","352","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2026-01-16T14:16:22","","\u9633\u6CC9","可用区C","",""
"i-j1NUcCEP","cce-ig-n2n53rim-iqievscp-caep2nx6-4","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-n2n53rim","","运行中","","0","","bcc.g4.c84m352","10.89.0.75","","10.89.0.75(内)  -(公)
","2","","84","352","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2026-01-16T14:16:22","","\u9633\u6CC9","可用区C","",""
"i-8gzRsho9","cce-ig-n2n53rim-iqievscp-caep2nx6-5","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-n2n53rim","","运行中","","0","","bcc.g4.c84m352","10.89.0.50","","10.89.0.50(内)  -(公)
","1","","84","352","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2026-01-16T14:16:22","","\u9633\u6CC9","可用区C","",""
"i-5Wm65oRE","cce-ig-n2n53rim-iqievscp-caep2nx6-6","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-n2n53rim","","运行中","","0","","bcc.g4.c84m352","10.89.0.76","","10.89.0.76(内)  -(公)
","1","","84","352","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2026-01-16T14:16:22","","\u9633\u6CC9","可用区C","",""
"i-TZbqgXmf","cce-ig-n2n53rim-iqievscp-caep2nx6-7","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-n2n53rim","","运行中","","0","","bcc.g4.c84m352","10.89.0.73","","10.89.0.73(内)  -(公)
","2","","84","352","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2026-01-16T14:16:22","","\u9633\u6CC9","可用区C","",""
"i-7BTa6RPi","cce-ig-kriq8lhi-9qts69zj-pfdrwhmq","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,工程:AI平台,cce-cluster-id:cce-xrg955qz,项目:AI平台,申请人:田新明202413733,工单:40466628-44ff-11f0-97de-8adc659c3927,cce-instance-group-id:cce-ig-kriq8lhi","","运行中","nTeslaH800","8","640GB","bcc.lgn6tcefc.c208m1952.8h800.8re.4d","10.90.0.101","","10.90.0.101(内)  -(公)
","1","","208","1952","500","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-AI平台-node1","2025-12-29T11:30:24","","\u9633\u6CC9","可用区C","k-AH4p9W9A","SSH-KEY_CCE-PROD-AI平台-训练任务"
"i-a2nexgF6","cce-ig-49zcib7u-o9pbm89z-92wz24nr","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-49zcib7u","","运行中","nTeslaL20","8","384GB","ehc.lgn7sne.c208m1024.8l20.4re.4d","10.89.0.42","","10.89.0.42(内)  -(公)
","2","","208","1024","500","Ubuntu","22.04-U1 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2025-12-17T11:35:29","","\u9633\u6CC9","可用区C","",""
"i-jjC5Uktb","cce-bcc-halo-data-cleaning-prod-cpu-sctuqq1r-nm2omg3x","工程:闭环,环境:哈密百度云生产,项目:标注系统,开通人:郑傲宇202410692,cce-cluster-id:cce-4nmy1x1s,source:CCE,申请人:杨秀清202312997,工单:ec84f34b-d657-11f0-8674-daef02be1f6e,用途:清洗服务,cce-instance-group-id:cce-ig-n49ff2bg","","运行中","","0","","bcc.g4.c8m32","10.90.32.12","","10.90.32.12(内)  -(公)
","1","","8","32","500","CentOS","7.9 x86_64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-标注系统-node1","2025-12-16T14:20:37","","\u9633\u6CC9","可用区C","",""
"i-Gj0MO9So","cce-ig-n2n53rim-kptv5g1b-caep2nx6-1","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-n2n53rim","","运行中","","0","","bcc.g4.c84m352","10.89.0.41","","10.89.0.41(内)  -(公)
","2","","84","352","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2025-12-16T09:09:13","","\u9633\u6CC9","可用区C","",""
"i-vPuKKZyj","cce-ig-n2n53rim-kptv5g1b-caep2nx6-2","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-n2n53rim","","运行中","","0","","bcc.g4.c84m352","10.89.0.40","","10.89.0.40(内)  -(公)
","2","","84","352","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2025-12-16T09:09:13","","\u9633\u6CC9","可用区C","",""
"i-YRX1YYcT","cce-bcc-halo-data-cleaning-dev-cpu-35czj81g-bgf88evq","工程:闭环,项目:标注系统,开通人:郑傲宇202410692,source:CCE,cce-cluster-id:cce-9m1ht29q,环境:哈密百度云开发,申请人:杨秀清202312997,工单:ec84f34b-d657-11f0-8674-daef02be1f6e,cce-instance-group-id:cce-ig-7t40zkxa,用途:清洗服务","","运行中","","0","","bcc.g4.c4m16","10.91.0.2","","10.91.0.2(内)  -(公)
","2","","4","16","100","CentOS","7.9 x86_64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-沙盒环境-node1","2025-12-11T16:31:32","","\u9633\u6CC9","可用区C","",""
"i-CtrTRyP9","星环-flink-生产-09","工单:2ab442f8-8eef-11f0-8506-26e014039e2d","","运行中","","0","","bcc.g4.c64m256","10.90.4.177","","10.90.4.177(内)  -(公)
","0","","64","256","400","CentOS","8.4 x86_64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-AI平台-中间件1","2025-11-26T11:18:40","","\u9633\u6CC9","可用区C","",""
"i-SNZlvkaj","星环-flink-生产-05","工单:2ab442f8-8eef-11f0-8506-26e014039e2d","","运行中","","0","","bcc.g4.c64m256","10.90.4.178","","10.90.4.178(内)  -(公)
","0","","64","256","400","CentOS","8.4 x86_64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-AI平台-中间件1","2025-11-26T11:18:40","","\u9633\u6CC9","可用区C","",""
"i-gSokqhhG","零信任浏览器-测试用","默认项目:","","运行中","","0","","bcc.g4.c8m32","13.0.0.19","","13.0.0.19(内)  -(公)
","0","","8","32","40","Windows Server","2022 x86_64 (64bit) 中文版","后付费","零信任浏览器-VPC-NO-DEL","零信任浏览器-NO-DEL","2025-11-19T16:21:42","","\u9633\u6CC9","可用区C","",""
"i-0xmAj2zP","VPN网关测试-NO-DEL","开通人:叶涛","","运行中","","0","","bcc.g4.c8m32","12.0.0.86","","12.0.0.86(内)  -(公)
","0","","8","32","40","Ubuntu","24.04 LTS amd64 (64bit)","后付费","VPN-USER-NO-DEL","VPN-USER-NO-DEL","2025-11-07T10:40:17","","\u9633\u6CC9","可用区C","",""
"i-3YyVduYB","cce-ig-n2n53rim-uhvp9dqm-caep2nx6-1","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-n2n53rim","","运行中","","0","","bcc.g4.c84m352","10.89.0.38","","10.89.0.38(内)  -(公)
","2","","84","352","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2025-10-31T16:27:34","","\u9633\u6CC9","可用区C","",""
"i-7y076BZb","cce-ig-n2n53rim-uhvp9dqm-caep2nx6-2","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-n2n53rim","","运行中","","0","","bcc.g4.c84m352","10.89.0.36","","10.89.0.36(内)  -(公)
","2","","84","352","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2025-10-31T16:27:34","","\u9633\u6CC9","可用区C","",""
"i-Ji1K1hIj","cce-ig-n2n53rim-uhvp9dqm-caep2nx6-3","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-n2n53rim","","运行中","","0","","bcc.g4.c84m352","10.89.0.39","","10.89.0.39(内)  -(公)
","1","","84","352","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2025-10-31T16:27:34","","\u9633\u6CC9","可用区C","",""
"i-GA7HbqbZ","cce-ig-n2n53rim-uhvp9dqm-caep2nx6-4","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-n2n53rim","","运行中","","0","","bcc.g4.c84m352","10.89.0.37","","10.89.0.37(内)  -(公)
","2","","84","352","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2025-10-31T16:27:34","","\u9633\u6CC9","可用区C","",""
"i-we3TVyYm","cce-ig-n2n53rim-uhvp9dqm-caep2nx6-5","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-n2n53rim","","运行中","","0","","bcc.g4.c84m352","10.89.0.35","","10.89.0.35(内)  -(公)
","2","","84","352","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2025-10-31T16:27:34","","\u9633\u6CC9","可用区C","",""
"i-8aYFuiHM","instance-ls2mahfo","需求人:唐墨,默认项目:调度平台2.0master节点","","运行中","","0","","bcc.g4.c84m352","10.89.0.34","","10.89.0.34(内)  -(公)
","0","","84","352","500","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2025-10-31T16:23:16","","\u9633\u6CC9","可用区C","",""
"i-NusvK6Wf","instance-0wg7siu0-1","需求人:唐墨,默认项目:调度平台2.0集群搭建","","运行中","","0","","bcc.g4.c84m352","10.89.0.15","","10.89.0.15(内)  -(公)
","0","","84","352","500","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2025-10-31T15:16:45","","\u9633\u6CC9","可用区C","",""
"i-T5AEmKnq","instance-0wg7siu0-2","需求人:唐墨,默认项目:调度平台2.0集群搭建","","运行中","","0","","bcc.g4.c84m352","10.89.0.33","","10.89.0.33(内)  -(公)
","0","","84","352","500","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2025-10-31T15:16:45","","\u9633\u6CC9","可用区C","",""
"i-g8owxexn","instance-0wg7siu0-3","需求人:唐墨,默认项目:调度平台2.0集群搭建","","运行中","","0","","bcc.g4.c84m352","10.89.0.32","","10.89.0.32(内)  -(公)
","0","","84","352","500","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2025-10-31T15:16:45","","\u9633\u6CC9","可用区C","",""
"i-Jbx1CXGr","instance-0wg7siu0-4","需求人:唐墨,默认项目:调度平台2.0集群搭建","","运行中","","0","","bcc.g4.c84m352","10.89.0.31","","10.89.0.31(内)  -(公)
","0","","84","352","500","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2025-10-31T15:16:45","","\u9633\u6CC9","可用区C","",""
"i-XfzOsZSn","CCE-EBC-triton-server-H20-tianshu-llm-a42nkygr-k1261nr6","环境:哈密百度云生产,开通人:郑傲宇202410692,source:CCE,cce-cluster-id:cce-p6w3c5z8,工程:推理服务,申请人:姚沐晨6319913,工单:月度需求,团队:大模型基座,cce-instance-group-id:cce-ig-rbtrwee7","","运行中","nTeslaH20","8","768GB","ehc.lgn7tne.c208m2048.8h20.4re.4d","10.90.128.7","","10.90.128.7(内)  -(公)
","2","","208","2048","500","CentOS","8.4-U1 x86_64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-推理服务-node1","2025-10-24T09:04:47","","\u9633\u6CC9","可用区C","",""
"i-MjxWiih9","cce-ig-n2n53rim-n6mb24hf-caep2nx6","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-n2n53rim","","运行中","","0","","bcc.g4.c84m352","10.89.0.30","","10.89.0.30(内)  -(公)
","1","","84","352","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2025-10-22T13:58:11","","\u9633\u6CC9","可用区C","",""
